step,sigma_mm,dist_mm
0,39.5135,152.8251
1,39.9086,125.4317
2,40.3645,120.8675
3,40.7336,122.8691
4,41.3435,95.1814
5,41.7390,76.3496
6,42.1085,91.2350
7,42.2930,76.3176
8,42.6309,91.3396
9,42.8748,76.2737
10,43.2163,91.3534
11,43.6171,76.1459
12,44.1539,91.3836
13,44.4289,76.1272
14,44.7615,91.4120
15,45.0122,75.9809
16,45.4275,91.3773
17,45.8868,75.7841
18,46.3048,91.3624
19,46.8477,75.6925
20,47.2426,91.3751
21,47.7349,75.5367
22,47.9194,91.4708
23,48.2263,75.5439
24,48.1544,91.5312
25,48.5984,75.4547
26,48.7896,91.4543
27,48.9388,75.2553
28,49.2654,91.4989
29,49.2413,75.1869
30,49.2745,91.4189
31,49.7186,75.0138
32,49.8534,91.4723
33,50.0942,75.0557
34,50.3492,91.5188
35,50.6531,74.9900
36,51.0017,91.6951
37,50.7275,75.0177
38,51.0810,91.6491
39,51.1846,74.7940
40,51.3224,91.5637
41,51.4800,74.5852
42,51.7368,91.6498
43,52.1566,74.6561
44,52.5684,91.6768
45,52.5110,74.3688
46,52.6327,91.6629
47,52.7245,74.2673
48,53.4853,91.7339
49,53.7052,74.2090
50,53.6670,91.7202
51,53.9789,74.1603
52,54.2687,91.7280
53,54.2722,74.0328
54,54.3854,91.7579
55,54.3377,73.9130
56,54.7019,91.7627
57,54.8858,73.9288
58,55.1019,91.7940
59,55.1496,73.7346
60,55.4040,91.7660
61,55.4553,73.5667
62,55.8441,91.7919
63,55.9497,73.5717
64,56.1779,91.8692
65,56.2394,73.5312
66,56.3799,91.8645
67,56.6881,73.4947
68,56.6310,91.8244
69,57.1240,73.2506
70,57.1922,91.8311
71,57.2590,73.2327
72,57.7557,91.9161
73,58.0080,72.9850
74,58.0059,91.8209
75,58.1959,73.0016
76,58.2374,92.0272
77,58.3261,72.9117
78,58.2513,92.0393
79,58.1717,72.9557
80,58.2815,92.0617
81,58.4595,72.8216
82,58.5776,92.1077
83,58.8175,72.8642
84,59.1903,92.2119
85,59.2555,72.7032
86,59.2902,91.9717
87,59.6178,72.5329
88,59.7284,92.0533
89,60.1180,72.5055
90,60.2246,92.0880
91,60.1951,72.5145
92,60.2447,92.2865
93,60.7777,72.5322
94,60.9005,92.2847
95,60.8147,72.4553
96,60.9041,92.2556
97,61.0448,72.4225
98,60.9056,92.4153
99,61.1274,72.4122
100,61.2993,92.5099
101,61.2679,72.3912
102,61.5593,92.5355
103,62.0158,72.4698
104,62.1456,92.6306
105,62.2235,72.3014
106,62.4793,92.7999
107,62.6562,72.5199
108,62.8013,92.9488
109,63.2321,72.4601
110,63.5845,93.0248
111,63.8912,72.4520
112,64.2174,92.3925
113,64.2617,73.1666
114,64.9722,92.3720
115,65.4293,73.0894
116,65.8782,92.4211
117,66.1232,73.0640
118,66.1239,92.3693
119,66.4362,72.9882
120,66.4608,92.3882
121,66.7575,72.7853
122,66.9336,92.3829
123,66.9982,72.6972
124,67.3189,92.4566
125,67.3893,72.6566
126,67.6760,91.9847
127,67.8733,74.6351
128,68.1410,92.1328
129,68.2668,74.6048
130,68.3882,92.1415
131,68.5314,74.4508
132,68.6855,92.1769
133,68.5765,74.4774
134,68.7198,92.1979
135,68.9978,74.3530
136,69.1032,92.2537
137,69.1716,74.3102
138,69.3541,92.2158
139,69.5482,74.2219
140,69.5149,92.2888
141,69.6164,74.1741
142,69.4706,92.4838
143,69.5829,74.2226
144,69.6245,92.5521
145,69.6270,74.2131
146,69.4818,92.6351
147,69.7059,74.1327
148,69.8798,92.7347
149,70.3333,74.0122
150,70.4294,92.5461
151,70.4022,74.8772
152,70.3509,92.5393
153,70.0566,74.7683
154,70.0623,92.5081
155,70.0957,74.6077
156,70.2104,92.4996
157,70.3126,74.5392
158,70.2854,92.4508
159,70.5497,74.4508
160,70.7876,92.2884
161,70.8312,74.2510
162,70.8607,92.4443
163,70.9597,74.2557
164,71.1241,92.4312
165,71.1209,74.1305
166,71.1526,92.4216
167,71.5335,73.9895
168,71.7576,92.3293
169,71.9540,74.8157
170,71.9991,92.4710
171,72.0650,74.7843
172,72.4020,92.4867
173,72.3561,74.7029
174,72.7315,92.5352
175,72.9850,74.6588
176,73.3095,93.3999
177,73.1022,79.3432
178,72.9294,53.7956
179,17.7418,68.4391
180,19.4128,88.4423
181,9.7839,58.3999
182,13.6593,26.8499
183,19.4742,62.6572
184,10.1196,32.5909
185,12.2147,70.7917
186,8.3312,44.6811
187,9.8735,13.7048
188,7.3430,25.0290
189,8.1512,17.1528
190,21.1154,35.3731
191,19.8336,55.0065
